,X,file_name,plot,block,treatment,year,month,day,plot_type,nphoto,GCC_mean,EGI_mean,ERI_mean,ExGmR,Date,pixel_length,pixel_width,DoY
41,120,C01_01_05012025.jpeg,1,1,Drought,2025,5,1,C,1,0.340417162,0.023396274,0.200798991,-0.177402717,5/1/25,457,506,121
42,121,C02_01_05012025.jpeg,2,1,Drought-Deluge,2025,5,1,C,1,0.339061004,0.019188041,0.22468433,-0.205496289,5/1/25,442,456,121
43,122,C03_01_05012025.jpeg,3,1,Control,2025,5,1,C,1,0.343978686,0.030884729,0.171540222,-0.140655493,5/1/25,480,479,121
44,123,C04_01_05012025.jpeg,4,1,Deluge,2025,5,1,C,1,0.346010814,0.037179686,0.173412463,-0.136232778,5/1/25,487,498,121
45,124,C05_01_05012025.jpeg,5,2,Deluge,2025,5,1,C,1,0.343486679,0.02783848,0.161854012,-0.134015532,5/1/25,436,443,121
46,125,C06_01_05012025.jpeg,6,2,Control,2025,5,1,C,1,0.344820627,0.033173345,0.171758052,-0.138584707,5/1/25,447,447,121
47,126,C07_01_05012025.jpeg,7,2,Drought,2025,5,1,C,1,0.341625293,0.027159295,0.206161043,-0.179001748,5/1/25,499,494,121
48,127,C08_01_05012025.jpeg,8,2,Drought-Deluge,2025,5,1,C,1,0.339999456,0.01988966,0.182043491,-0.162153831,5/1/25,451,462,121
49,128,C09_01_05012025.jpeg,9,3,Deluge,2025,5,1,C,1,0.341871303,0.023446436,0.170257993,-0.146811556,5/1/25,472,505,121
50,129,C10_01_05012025.jpeg,10,3,Control,2025,5,1,C,1,0.343520636,0.031334567,0.2012334,-0.169898833,5/1/25,426,422,121
51,130,C11_01_05012025.jpeg,11,3,Drought,2025,5,1,C,1,0.341068391,0.024219955,0.185407701,-0.161187746,5/1/25,454,473,121
52,131,C12_01_05012025.jpeg,12,3,Drought-Deluge,2025,5,1,C,1,0.343694268,0.030623736,0.179423004,-0.148799269,5/1/25,458,460,121
53,132,C13_01_05012025.jpeg,13,4,Drought-Deluge,2025,5,1,C,1,0.338984379,0.017601589,0.187092524,-0.169490935,5/1/25,494,530,121
54,133,C14_01_05012025.jpeg,14,4,Drought,2025,5,1,C,1,0.33869049,0.016081768,0.18409787,-0.168016103,5/1/25,446,449,121
55,134,C15_01_05012025.jpeg,15,4,Deluge,2025,5,1,C,1,0.343261566,0.030866234,0.18552052,-0.154654286,5/1/25,444,464,121
56,135,C16_01_05012025.jpeg,16,4,Control,2025,5,1,C,1,0.343261059,0.027912984,0.181697589,-0.153784605,5/1/25,495,483,121
57,136,C17_01_05012025.jpeg,17,5,Drought-Deluge,2025,5,1,C,1,0.338417827,0.01590436,0.204076147,-0.188171787,5/1/25,467,488,121
58,137,C18_01_05012025.jpeg,18,5,Drought,2025,5,1,C,1,0.338422839,0.016691343,0.202965627,-0.186274285,5/1/25,415,431,121
59,138,C19_01_05012025.jpeg,19,5,Control,2025,5,1,C,1,0.344423528,0.028559179,0.152168973,-0.123609794,5/1/25,520,506,121
60,139,C20_01_05012025.jpeg,20,5,Deluge,2025,5,1,C,1,0.344084344,0.032657579,0.173331726,-0.140674148,5/1/25,448,486,121
61,140,C21_01_05012025.jpeg,21,6,Drought,2025,5,1,C,1,0.3402686,0.020795526,0.181940421,-0.161144896,5/1/25,571,567,121
62,141,C22_01_05012025.jpeg,22,6,Drought-Deluge,2025,5,1,C,1,0.339645135,0.021059609,0.191201563,-0.170141954,5/1/25,428,444,121
