,X,file_name,plot,block,treatment,year,month,day,plot_type,nphoto,GCC_mean,EGI_mean,ERI_mean,ExGmR,Date,pixel_length,pixel_width,DoY
180,458,C20_01_05232025.jpeg,20,5,Deluge,2025,5,23,C,1,0.352793256,0.050680032,0.16244252,-0.111762489,5/23/25,1049,1031,143
181,459,C21_01_05232025.jpeg,21,6,Drought,2025,5,23,C,1,0.340566504,0.02158371,0.186583901,-0.16500019,5/23/25,952,976,143
182,460,C22_01_05232025.jpeg,22,6,Drought-Deluge,2025,5,23,C,1,0.337652688,0.013676405,0.196235307,-0.182558903,5/23/25,530,511,143
183,461,C23_01_05232025.jpeg,23,6,Deluge,2025,5,23,C,1,0.351159292,0.045865754,0.1547924,-0.108926646,5/23/25,890,904,143
184,462,C24_01_05232025.jpeg,24,6,Control,2025,5,23,C,1,0.356929525,0.061460326,0.157547555,-0.096087229,5/23/25,1020,1015,143
185,463,C25_01_05232025.jpeg,25,7,Drought,2025,5,23,C,1,0.33851257,0.014945123,0.187733871,-0.172788748,5/23/25,926,942,143
186,464,C26_01_05232025.jpeg,26,7,Drought-Deluge,2025,5,23,C,1,0.341858763,0.023945734,0.183194963,-0.159249229,5/23/25,956,957,143
187,465,C27_01_05232025.jpeg,27,7,Control,2025,5,23,C,1,0.358902446,0.055395301,0.147113438,-0.091718137,5/23/25,1095,1058,143
188,466,C28_01_05232025.jpeg,28,7,Deluge,2025,5,23,C,1,0.358378254,0.060721157,0.156853187,-0.09613203,5/23/25,971,931,143
189,467,C29_01_05232025.jpeg,29,8,Drought-Deluge,2025,5,23,C,1,0.339239581,0.016675807,0.188616414,-0.171940606,5/23/25,1024,999,143
190,468,C30_01_05232025.jpeg,30,8,Drought,2025,5,23,C,1,0.339954403,0.019263676,0.191291206,-0.17202753,5/23/25,1006,974,143
191,469,C31_01_05232025.jpeg,31,8,Control,2025,5,23,C,1,0.354418451,0.047507194,0.149197397,-0.101690204,5/23/25,1078,1075,143
192,470,C32_01_05232025.jpeg,32,8,Deluge,2025,5,23,C,1,0.35155601,0.044368266,0.185700429,-0.141332162,5/23/25,1536,2048,143
193,471,C33_01_05232025.jpeg,33,9,Drought,2025,5,23,C,1,0.338919327,0.01571297,0.194800905,-0.179087935,5/23/25,1031,1037,143
194,472,C34_01_05232025.jpeg,34,9,Drought-Deluge,2025,5,23,C,1,0.338809151,0.014936146,0.18537441,-0.170438265,5/23/25,1065,1078,143
195,473,C35_01_05232025.jpeg,35,9,Deluge,2025,5,23,C,1,0.355873325,0.049425388,0.153226172,-0.103800784,5/23/25,940,957,143
196,474,C36_01_05232025.jpeg,36,9,Control,2025,5,23,C,1,0.362198996,0.062593859,0.144122302,-0.081528443,5/23/25,1064,1082,143
197,475,C37_01_05232025.jpeg,37,10,Deluge,2025,5,23,C,1,0.360789539,0.051519769,0.136130677,-0.084610909,5/23/25,988,1012,143
198,476,C38_01_05232025.jpeg,38,10,Control,2025,5,23,C,1,0.351467293,0.041334333,0.163515846,-0.122181513,5/23/25,875,841,143
199,477,C39_01_05232025.jpeg,39,10,Drought-Deluge,2025,5,23,C,1,0.338981007,0.013156974,0.161234415,-0.148077441,5/23/25,1034,975,143
200,478,C40_01_05232025.jpeg,40,10,Drought,2025,5,23,C,1,0.339031008,0.014724206,0.175823256,-0.16109905,5/23/25,1009,1009,143
201,636,C01_01_06042025.jpeg,1,1,Drought,2025,6,4,C,1,0.339708104,0.018715381,0.19498647,-0.176271089,6/4/25,487,487,155
202,637,C02_01_06042025.jpeg,2,1,Drought-Deluge,2025,6,4,C,1,0.343221801,0.029757169,0.227252986,-0.197495817,6/4/25,508,524,155
203,638,C03_01_06042025.jpeg,3,1,Control,2025,6,4,C,1,0.360038822,0.085311446,0.150654568,-0.065343121,6/4/25,496,509,155
204,639,C04_01_06042025.jpeg,4,1,Deluge,2025,6,4,C,1,0.360586332,0.078582567,0.144636024,-0.066053456,6/4/25,497,492,155
205,640,C05_01_06042025.jpeg,5,2,Deluge,2025,6,4,C,1,0.358600918,0.069482586,0.137217522,-0.067734936,6/4/25,925,927,155
206,641,C06_01_06042025.jpeg,6,2,Control,2025,6,4,C,1,0.359778377,0.084812517,0.140765739,-0.055953222,6/4/25,277,267,155
207,642,C07_01_06042025.jpeg,7,2,Drought,2025,6,4,C,1,0.351582931,0.05608973,0.177015138,-0.120925408,6/4/25,228,228,155
208,643,C08_01_06042025.jpeg,8,2,Drought-Deluge,2025,6,4,C,1,0.34104077,0.025956182,0.183567462,-0.157611281,6/4/25,224,227,155
209,644,C09_01_06042025.jpeg,9,3,Deluge,2025,6,4,C,1,0.359675785,0.074486766,0.153067313,-0.078580548,6/4/25,1004,1002,155
210,645,C10_01_06042025.jpeg,10,3,Control,2025,6,4,C,1,0.369585489,0.107104624,0.152377276,-0.045272652,6/4/25,990,979,155
211,646,C11_01_06042025.jpeg,11,3,Drought,2025,6,4,C,1,0.343431587,0.028971586,0.17850174,-0.149530154,6/4/25,515,531,155
212,647,C12_01_06042025.jpeg,12,3,Drought-Deluge,2025,6,4,C,1,0.345947283,0.034505232,0.172609135,-0.138103902,6/4/25,988,979,155
213,648,C13_01_06042025.jpeg,13,4,Drought-Deluge,2025,6,4,C,1,0.336498536,0.010491449,0.193266337,-0.182774888,6/4/25,551,562,155
214,649,C14_01_06042025.jpeg,14,4,Drought,2025,6,4,C,1,0.337852386,0.015065958,0.200730868,-0.18566491,6/4/25,565,574,155
215,650,C15_01_06042025.jpeg,15,4,Deluge,2025,6,4,C,1,0.352585452,0.057732152,0.157949923,-0.100217771,6/4/25,1072,1076,155
216,651,C16_01_06042025.jpeg,16,4,Control,2025,6,4,C,1,0.353606877,0.057660596,0.165604105,-0.107943508,6/4/25,1021,1035,155
217,652,C17_01_06042025.jpeg,17,5,Drought-Deluge,2025,6,4,C,1,0.335686403,0.007449766,0.205144906,-0.19769514,6/4/25,585,595,155
218,653,C18_01_06042025.jpeg,18,5,Drought,2025,6,4,C,1,0.337429553,0.013845867,0.203764015,-0.189918147,6/4/25,546,551,155
219,654,C19_01_06042025.jpeg,19,5,Control,2025,6,4,C,1,0.359751815,0.056655425,0.130514693,-0.073859268,6/4/25,1140,1183,155
220,655,C20_01_06042025.jpeg,20,5,Deluge,2025,6,4,C,1,0.359595543,0.070163436,0.141467025,-0.071303588,6/4/25,1024,1039,155
221,656,C21_01_06042025.jpeg,21,6,Drought,2025,6,4,C,1,0.345188218,0.030310051,0.165434993,-0.135124941,6/4/25,1076,1081,155
222,657,C22_01_06042025.jpeg,22,6,Drought-Deluge,2025,6,4,C,1,0.335622132,0.007572781,0.187734341,-0.18016156,6/4/25,490,512,155
223,658,C23_01_06042025.jpeg,23,6,Deluge,2025,6,4,C,1,0.359984451,0.07089961,0.155126495,-0.084226885,6/4/25,916,911,155
224,659,C24_01_06042025.jpeg,24,6,Control,2025,6,4,C,1,0.366627093,0.098203411,0.136388769,-0.038185358,6/4/25,490,493,155
225,660,C25_01_06042025.jpeg,25,7,Drought,2025,6,4,C,1,0.337502727,0.012549788,0.186847921,-0.174298133,6/4/25,471,479,155
226,661,C26_01_06042025.jpeg,26,7,Drought-Deluge,2025,6,4,C,1,0.340867905,0.024190537,0.194185709,-0.169995173,6/4/25,528,529,155
227,662,C27_01_06042025.jpeg,27,7,Control,2025,6,4,C,1,0.365544587,0.082952534,0.140747825,-0.057795291,6/4/25,997,1011,155
228,663,C28_01_06042025.jpeg,28,7,Deluge,2025,6,4,C,1,0.367818978,0.099040939,0.140507909,-0.04146697,6/4/25,921,947,155
229,664,C29_01_06042025.jpeg,29,8,Drought-Deluge,2025,6,4,C,1,0.336822839,0.012286854,0.202852359,-0.190565505,6/4/25,493,506,155
230,665,C30_01_06042025.jpeg,30,8,Drought,2025,6,4,C,1,0.3383115,0.016106398,0.202788928,-0.18668253,6/4/25,493,505,155
231,666,C31_01_06042025.jpeg,31,8,Control,2025,6,4,C,1,0.362204613,0.087896372,0.153594553,-0.065698181,6/4/25,492,503,155
232,667,C32_01_06042025.jpeg,32,8,Deluge,2025,6,4,C,1,0.365545776,0.094874528,0.164252114,-0.069377586,6/4/25,1036,1052,155
233,668,C33_01_06042025.jpeg,33,9,Drought,2025,6,4,C,1,0.337650984,0.01413773,0.208192721,-0.194054991,6/4/25,973,972,155
234,669,C34_01_06042025.jpeg,34,9,Drought-Deluge,2025,6,4,C,1,0.337978347,0.014938628,0.20329115,-0.188352522,6/4/25,947,953,155
235,670,C35_01_06042025.jpeg,35,9,Deluge,2025,6,4,C,1,0.363080462,0.082316116,0.143404744,-0.061088628,6/4/25,968,960,155
236,671,C36_01_06042025.jpeg,36,9,Control,2025,6,4,C,1,0.370672085,0.10744898,0.138713084,-0.031264104,6/4/25,1078,1084,155
237,672,C37_01_06042025.jpeg,37,10,Deluge,2025,6,4,C,1,0.368303554,0.091003471,0.130013544,-0.039010073,6/4/25,973,970,155
238,673,C38_01_06042025.jpeg,38,10,Control,2025,6,4,C,1,0.356323795,0.064171,0.143484347,-0.079313346,6/4/25,1012,1004,155
239,674,C39_01_06042025.jpeg,39,10,Drought-Deluge,2025,6,4,C,1,0.337604609,0.012431317,0.183260969,-0.170829652,6/4/25,1047,1029,155
240,675,C40_01_06042025.jpeg,40,10,Drought,2025,6,4,C,1,0.337564469,0.012090828,0.180794636,-0.168703809,6/4/25,1044,1037,155
241,751,C01_01_06132025.jpeg,1,1,Drought,2025,6,13,C,1,0.3431069,0.030719682,0.195877941,-0.165158259,6/13/25,396,411,164
242,752,C02_01_06132025.jpeg,2,1,Drought-Deluge,2025,6,13,C,1,0.343405884,0.028663828,0.215394824,-0.186730996,6/13/25,380,378,164
243,753,C03_01_06132025.jpeg,3,1,Control,2025,6,13,C,1,0.355491916,0.066765251,0.194244199,-0.127478948,6/13/25,389,399,164
244,754,C04_01_06132025.jpeg,4,1,Deluge,2025,6,13,C,1,0.370917152,0.088852569,0.145013355,-0.056160786,6/13/25,463,472,164
245,755,C05_01_06132025.jpeg,5,2,Deluge,2025,6,13,C,1,0.353923415,0.059094448,0.189210605,-0.130116157,6/13/25,385,375,164
246,756,C06_01_06132025.jpeg,6,2,Control,2025,6,13,C,1,0.356698502,0.064628778,0.178580706,-0.113951929,6/13/25,377,358,164
247,757,C07_01_06132025.jpeg,7,2,Drought,2025,6,13,C,1,0.350738702,0.05539956,0.201107225,-0.145707664,6/13/25,369,367,164
248,758,C08_01_06132025.jpeg,8,2,Drought-Deluge,2025,6,13,C,1,0.341590789,0.025923617,0.191944849,-0.166021232,6/13/25,426,404,164
249,759,C09_01_06132025.jpeg,9,3,Deluge,2025,6,13,C,1,0.354832931,0.056835872,0.189790408,-0.132954535,6/13/25,418,402,164
250,760,C10_01_06132025.jpeg,10,3,Control,2025,6,13,C,1,0.360001696,0.072477314,0.196133956,-0.123656641,6/13/25,398,378,164
251,761,C11_01_06132025.jpeg,11,3,Drought,2025,6,13,C,1,0.340453417,0.025171389,0.191172183,-0.166000794,6/13/25,367,361,164
252,762,C12_01_06132025.jpeg,12,3,Drought-Deluge,2025,6,13,C,1,0.343447933,0.031421492,0.18690455,-0.155483058,6/13/25,409,416,164
253,763,C13_01_06132025.jpeg,13,4,Drought-Deluge,2025,6,13,C,1,0.338141062,0.016206489,0.196424727,-0.180218238,6/13/25,390,410,164
254,764,C14_01_06132025.jpeg,14,4,Drought,2025,6,13,C,1,0.339018454,0.019415959,0.212153835,-0.192737876,6/13/25,429,428,164
255,765,C15_01_06132025.jpeg,15,4,Deluge,2025,6,13,C,1,0.349287483,0.044041039,0.203553228,-0.15951219,6/13/25,410,411,164
256,766,C16_01_06132025.jpeg,16,4,Control,2025,6,13,C,1,0.350996335,0.049541763,0.22203906,-0.172497297,6/13/25,411,424,164
257,767,C17_01_06132025.jpeg,17,5,Drought-Deluge,2025,6,13,C,1,0.337783565,0.016281698,0.242546684,-0.226264986,6/13/25,387,387,164
258,768,C18_01_06132025.jpeg,18,5,Drought,2025,6,13,C,1,0.339039548,0.018967944,0.199253818,-0.180285874,6/13/25,385,390,164
259,769,C19_01_06132025.jpeg,19,5,Control,2025,6,13,C,1,0.358888737,0.066024449,0.158828501,-0.092804052,6/13/25,368,366,164
260,770,C20_01_06132025.jpeg,20,5,Deluge,2025,6,13,C,1,0.356136339,0.061141289,0.17240409,-0.111262801,6/13/25,393,395,164
261,771,C21_01_06132025.jpeg,21,6,Drought,2025,6,13,C,1,0.342155431,0.025753728,0.17714849,-0.151394763,6/13/25,427,437,164
262,772,C22_01_06132025.jpeg,22,6,Drought-Deluge,2025,6,13,C,1,0.337892089,0.016821341,0.202836243,-0.186014902,6/13/25,422,427,164
263,773,C23_01_06132025.jpeg,23,6,Deluge,2025,6,13,C,1,0.357129267,0.05765983,0.144695093,-0.087035263,6/13/25,426,413,164
264,774,C24_01_06132025.jpeg,24,6,Control,2025,6,13,C,1,0.354287956,0.065978832,0.188550882,-0.12257205,6/13/25,386,382,164
265,775,C25_01_06132025.jpeg,25,7,Drought,2025,6,13,C,1,0.338740349,0.018947255,0.208534686,-0.18958743,6/13/25,387,382,164
266,776,C26_01_06132025.jpeg,26,7,Drought-Deluge,2025,6,13,C,1,0.341466148,0.028630242,0.196740026,-0.168109784,6/13/25,398,409,164
267,777,C27_01_06132025.jpeg,27,7,Control,2025,6,13,C,1,0.361537291,0.07108079,0.152414333,-0.081333543,6/13/25,469,464,164
268,778,C28_01_06132025.jpeg,28,7,Deluge,2025,6,13,C,1,0.359744877,0.074718485,0.179610131,-0.104891647,6/13/25,368,376,164
269,779,C29_01_06132025.jpeg,29,8,Drought-Deluge,2025,6,13,C,1,0.33735048,0.014512627,0.20503286,-0.190520233,6/13/25,391,385,164
270,780,C30_01_06132025.jpeg,30,8,Drought,2025,6,13,C,1,0.341214757,0.025633419,0.207120154,-0.181486734,6/13/25,456,465,164
271,781,C31_01_06132025.jpeg,31,8,Control,2025,6,13,C,1,0.35651107,0.065882569,0.169960938,-0.104078368,6/13/25,360,374,164
272,782,C32_01_06132025.jpeg,32,8,Deluge,2025,6,13,C,1,0.360144134,0.071995477,0.188143949,-0.116148472,6/13/25,377,374,164
273,783,C33_01_06132025.jpeg,33,9,Drought,2025,6,13,C,1,0.337550037,0.015692253,0.210029096,-0.194336844,6/13/25,330,335,164
274,784,C34_01_06132025.jpeg,34,9,Drought-Deluge,2025,6,13,C,1,0.338500272,0.017758999,0.208562352,-0.190803353,6/13/25,426,416,164
275,785,C35_01_06132025.jpeg,35,9,Deluge,2025,6,13,C,1,0.354066703,0.061408878,0.177157491,-0.115748613,6/13/25,348,347,164
276,786,C36_01_06132025.jpeg,36,9,Control,2025,6,13,C,1,0.364688727,0.099614874,0.165610943,-0.065996069,6/13/25,394,399,164
277,787,C37_01_06132025.jpeg,37,10,Deluge,2025,6,13,C,1,0.365035292,0.082349148,0.138798966,-0.056449818,6/13/25,423,431,164
278,788,C38_01_06132025.jpeg,38,10,Control,2025,6,13,C,1,0.350434759,0.055428808,0.183338704,-0.127909896,6/13/25,375,364,164
279,789,C39_01_06132025.jpeg,39,10,Drought-Deluge,2025,6,13,C,1,0.340385745,0.021279348,0.184104587,-0.162825239,6/13/25,485,489,164
280,790,C40_01_06132025.jpeg,40,10,Drought,2025,6,13,C,1,0.339017168,0.01985998,0.208698768,-0.188838788,6/13/25,514,525,164
281,912,C01_01_06202025.jpg,1,1,Drought,2025,6,20,C,1,0.326435869,0.000698064,0.233990209,-0.233292145,6/20/25,2333,2310,171
282,913,C02_01_06202025.jpg,2,1,Drought-Deluge,2025,6,20,C,1,0.333344219,0.006557145,0.272500966,-0.26594382,6/20/25,2059,2093,171
283,914,C03_01_06202025.jpg,3,1,Control,2025,6,20,C,1,0.351396233,0.045114776,0.202443299,-0.157328523,6/20/25,1831,1911,171
284,915,C04_01_06202025.jpg,4,1,Deluge,2025,6,20,C,1,0.391765182,0.110852952,0.152440473,-0.041587521,6/20/25,2428,2423,171
285,916,C05_01_06202025.jpg,5,2,Deluge,2025,6,20,C,1,0.368507388,0.085516168,0.174714422,-0.089198254,6/20/25,2302,2283,171
286,917,C06_01_06202025.jpg,6,2,Control,2025,6,20,C,1,0.363333258,0.057030537,0.182571897,-0.12554136,6/20/25,2386,2444,171
287,918,C07_01_06202025.jpg,7,2,Drought,2025,6,20,C,1,0.33079551,0.007539095,0.263105695,-0.255566601,6/20/25,1943,1958,171
288,919,C08_01_06202025.jpg,8,2,Drought-Deluge,2025,6,20,C,1,0.34022048,0.019889515,0.204260789,-0.184371274,6/20/25,2245,2290,171
289,920,C09_01_06202025.jpg,9,3,Deluge,2025,6,20,C,1,0.36249678,0.089166832,0.205147089,-0.115980257,6/20/25,2366,2360,171
290,921,C10_01_06202025.jpg,10,3,Control,2025,6,20,C,1,0.354104921,0.069260412,0.237869566,-0.168609155,6/20/25,1818,1885,171
291,922,C11_01_06202025.jpg,11,3,Drought,2025,6,20,C,1,0.335514035,0.008243442,0.213630271,-0.205386829,6/20/25,2266,2256,171
292,923,C12_01_06202025.jpg,12,3,Drought-Deluge,2025,6,20,C,1,0.329502493,0.001149181,0.255866099,-0.254716917,6/20/25,2284,2210,171
293,924,C13_01_06202025.jpg,13,4,Drought-Deluge,2025,6,20,C,1,0.331788413,0.007548558,0.256898183,-0.249349625,6/20/25,2222,2223,171
294,925,C14_01_06202025.jpg,14,4,Drought,2025,6,20,C,1,0.335129771,0.010834981,0.28433436,-0.273499379,6/20/25,1840,1838,171
295,926,C15_01_06202025.jpg,15,4,Deluge,2025,6,20,C,1,0.363484686,0.074298409,0.212197901,-0.137899492,6/20/25,2180,2259,171
296,927,C16_01_06202025.jpg,16,4,Control,2025,6,20,C,1,0.361517628,0.075385031,0.198691062,-0.123306031,6/20/25,2085,2096,171
297,928,C17_01_06202025.jpg,17,5,Drought-Deluge,2025,6,20,C,1,0.332585328,0.014310496,0.219815648,-0.205505152,6/20/25,1823,1908,171
298,929,C18_01_06202025.jpg,18,5,Drought,2025,6,20,C,1,0.325010642,0.001091886,0.236865752,-0.235773866,6/20/25,2508,2511,171
299,930,C19_01_06202025.jpg,19,5,Control,2025,6,20,C,1,0.368200907,0.084408931,0.186287856,-0.101878924,6/20/25,1750,1759,171
300,931,C20_01_06202025.jpg,20,5,Deluge,2025,6,20,C,1,0.356481377,0.057676972,0.197884853,-0.140207881,6/20/25,1761,1839,171
301,932,C21_01_06202025.jpg,21,6,Drought,2025,6,20,C,1,0.32863073,0.004092186,0.24956621,-0.245474025,6/20/25,2264,2224,171
302,933,C22_01_06202025.jpg,22,6,Drought-Deluge,2025,6,20,C,1,0.32973175,0.000259626,0.258574879,-0.258315253,6/20/25,2496,2436,171
303,934,C23_01_06202025.jpg,23,6,Deluge,2025,6,20,C,1,0.351483524,0.05104559,0.212728441,-0.161682851,6/20/25,1984,2028,171
304,935,C24_01_06202025.jpg,24,6,Control,2025,6,20,C,1,0.371513584,0.08801183,0.185994655,-0.097982824,6/20/25,2103,2137,171
305,936,C25_01_06202025.jpg,25,7,Drought,2025,6,20,C,1,0.332798951,0.010697995,0.281339859,-0.270641865,6/20/25,1992,1918,171
306,937,C26_01_06202025.jpg,26,7,Drought-Deluge,2025,6,20,C,1,0.336959325,0.015315749,0.262524392,-0.247208642,6/20/25,2110,2027,171
307,938,C27_01_06202025.jpg,27,7,Control,2025,6,20,C,1,0.370075089,0.095167852,0.200257515,-0.105089663,6/20/25,1964,1923,171
308,939,C28_01_06202025.jpg,28,7,Deluge,2025,6,20,C,1,0.376890437,0.106957807,0.180179311,-0.073221504,6/20/25,2263,2312,171
309,940,C29_01_06202025.jpg,29,8,Drought-Deluge,2025,6,20,C,1,0.340029922,0.025788372,0.247537064,-0.221748692,6/20/25,2319,2433,171
310,941,C30_01_06202025.jpg,30,8,Drought,2025,6,20,C,1,0.332016051,0.004521752,0.235887106,-0.231365354,6/20/25,2143,2079,171
311,942,C31_01_06202025.jpg,31,8,Control,2025,6,20,C,1,0.365056571,0.078981987,0.204606641,-0.125624655,6/20/25,2371,2439,171
312,943,C32_01_06202025.jpg,32,8,Deluge,2025,6,20,C,1,0.375648141,0.109020069,0.195231897,-0.086211827,6/20/25,2094,2124,171
313,944,C33_01_06202025.jpg,33,9,Drought,2025,6,20,C,1,0.337350622,0.016083049,0.233994027,-0.217910978,6/20/25,2273,2306,171
314,945,C34_01_06202025.jpg,34,9,Drought-Deluge,2025,6,20,C,1,0.340551755,0.023424776,0.235133379,-0.211708603,6/20/25,2013,2007,171
315,946,C35_01_06202025.jpg,35,9,Deluge,2025,6,20,C,1,0.365193862,0.078140403,0.189607907,-0.111467504,6/20/25,1912,1894,171
316,947,C36_01_06202025.jpg,36,9,Control,2025,6,20,C,1,0.378645366,0.108251675,0.184515024,-0.076263349,6/20/25,2098,2118,171
317,948,C37_01_06202025.jpg,37,10,Deluge,2025,6,20,C,1,0.36542301,0.075910746,0.195690439,-0.119779692,6/20/25,1767,1828,171
318,949,C38_01_06202025.jpg,38,10,Control,2025,6,20,C,1,0.375134743,0.100639147,0.171881558,-0.071242411,6/20/25,2273,2300,171
319,950,C39_01_06202025.jpg,39,10,Drought-Deluge,2025,6,20,C,1,0.331263325,0.002034887,0.228843299,-0.226808413,6/20/25,1792,1880,171
320,951,C40_01_06202025.jpg,40,10,Drought,2025,6,20,C,1,0.330673712,0.002760703,0.259227263,-0.25646656,6/20/25,1799,1879,171
321,992,C01_01_06262025.jpeg,1,1,Drought,2025,6,26,C,1,0.342559813,0.02750952,0.187458559,-0.159949039,6/26/25,482,481,177
322,993,C02_01_06262025.jpeg,2,1,Drought-Deluge,2025,6,26,C,1,0.348267849,0.040585571,0.192075866,-0.151490294,6/26/25,409,408,177
323,994,C03_01_06262025.jpeg,3,1,Control,2025,6,26,C,1,0.352873338,0.058378836,0.193467008,-0.135088172,6/26/25,352,363,177
324,995,C04_01_06262025.jpeg,4,1,Deluge,2025,6,26,C,1,0.354202713,0.067934147,0.19460304,-0.126668894,6/26/25,345,366,177
325,996,C05_01_06262025.jpeg,5,2,Deluge,2025,6,26,C,1,0.352717731,0.05317917,0.181320859,-0.128141689,6/26/25,364,354,177
326,997,C06_01_06262025.jpeg,6,2,Control,2025,6,26,C,1,0.358528339,0.063588358,0.16125731,-0.097668952,6/26/25,349,333,177
327,998,C07_01_06262025.jpeg,7,2,Drought,2025,6,26,C,1,0.359597182,0.063307549,0.160112202,-0.096804653,6/26/25,467,456,177
328,999,C08_01_06262025.jpeg,8,2,Drought-Deluge,2025,6,26,C,1,0.339322278,0.016861801,0.182127053,-0.165265252,6/26/25,738,730,177
329,1000,C09_01_06262025.jpeg,9,3,Deluge,2025,6,26,C,1,0.352932866,0.04469051,0.193445695,-0.148755185,6/26/25,875,863,177
330,1001,C10_01_06262025.jpeg,10,3,Control,2025,6,26,C,1,0.362172312,0.066164913,0.189722629,-0.123557716,6/26/25,818,826,177
331,1002,C11_01_06262025.jpeg,11,3,Drought,2025,6,26,C,1,0.35009378,0.041664851,0.169463975,-0.127799123,6/26/25,910,881,177
332,1003,C12_01_06262025.jpeg,12,3,Drought-Deluge,2025,6,26,C,1,0.348007517,0.035302708,0.157601003,-0.122298296,6/26/25,887,868,177
333,1004,C13_01_06262025.jpeg,13,4,Drought-Deluge,2025,6,26,C,1,0.338279786,0.012379949,0.197201371,-0.184821423,6/26/25,782,833,177
334,1005,C14_01_06262025.jpeg,14,4,Drought,2025,6,26,C,1,0.337762672,0.014049267,0.208458231,-0.194408964,6/26/25,869,892,177
335,1006,C15_01_06262025.jpeg,15,4,Deluge,2025,6,26,C,1,0.348294261,0.031531273,0.212818212,-0.181286939,6/26/25,867,900,177
336,1007,C16_01_06262025.jpeg,16,4,Control,2025,6,26,C,1,0.350382239,0.041796557,0.205008408,-0.163211852,6/26/25,941,930,177
337,1008,C17_01_06262025.jpeg,17,5,Drought-Deluge,2025,6,26,C,1,0.336755671,0.013701448,0.247391204,-0.233689756,6/26/25,890,931,177
338,1009,C18_01_06262025.jpeg,18,5,Drought,2025,6,26,C,1,0.34120052,0.018584739,0.181412069,-0.16282733,6/26/25,779,762,177
339,1010,C19_01_06262025.jpeg,19,5,Control,2025,6,26,C,1,0.362051402,0.056611106,0.152009307,-0.095398201,6/26/25,748,720,177
340,1011,C20_01_06262025.jpeg,20,5,Deluge,2025,6,26,C,1,0.359380761,0.061906503,0.166031768,-0.104125265,6/26/25,965,960,177
341,1012,C21_01_06262025.jpeg,21,6,Drought,2025,6,26,C,1,0.346366722,0.031967623,0.16296774,-0.131000117,6/26/25,947,962,177
342,1013,C22_01_06262025.jpeg,22,6,Drought-Deluge,2025,6,26,C,1,0.337155877,0.009950668,0.198703133,-0.188752464,6/26/25,898,852,177
343,1014,C23_01_06262025.jpeg,23,6,Deluge,2025,6,26,C,1,0.359070174,0.051699292,0.148008715,-0.096309423,6/26/25,748,746,177
344,1015,C24_01_06262025.jpeg,24,6,Control,2025,6,26,C,1,0.360395548,0.066168185,0.17305302,-0.106884835,6/26/25,857,887,177
345,1016,C25_01_06262025.jpeg,25,7,Drought,2025,6,26,C,1,0.339821598,0.020781697,0.213006405,-0.192224707,6/26/25,880,927,177
346,1017,C26_01_06262025.jpeg,26,7,Drought-Deluge,2025,6,26,C,1,0.344457192,0.027357707,0.178630984,-0.151273277,6/26/25,927,931,177
347,1018,C27_01_06262025.jpeg,27,7,Control,2025,6,26,C,1,0.369766201,0.06338416,0.139090213,-0.075706052,6/26/25,917,951,177
348,1019,C28_01_06262025.jpeg,28,7,Deluge,2025,6,26,C,1,0.35521632,0.059177746,0.203107935,-0.143930188,6/26/25,760,784,177
349,1020,C29_01_06262025.jpeg,29,8,Drought-Deluge,2025,6,26,C,1,0.337137226,0.012646892,0.21238882,-0.199741929,6/26/25,759,741,177
350,1021,C30_01_06262025.jpeg,30,8,Drought,2025,6,26,C,1,0.340637413,0.019237442,0.199576979,-0.180339537,6/26/25,761,782,177
351,1022,C31_01_06262025.jpeg,31,8,Control,2025,6,26,C,1,0.36570816,0.070931207,0.16464561,-0.093714403,6/26/25,889,932,177
352,1023,C32_01_06262025.jpeg,32,8,Deluge,2025,6,26,C,1,0.359811457,0.063242284,0.190561571,-0.127319287,6/26/25,734,769,177
353,1024,C33_01_06262025.jpeg,33,9,Drought,2025,6,26,C,1,0.337024206,0.011190419,0.202494145,-0.191303726,6/26/25,786,834,177
354,1025,C34_01_06262025.jpeg,34,9,Drought-Deluge,2025,6,26,C,1,0.338029739,0.015177895,0.20752499,-0.192347094,6/26/25,807,845,177
355,1026,C35_01_06262025.jpeg,35,9,Deluge,2025,6,26,C,1,0.363325679,0.066430642,0.160068536,-0.093637894,6/26/25,919,910,177
356,1027,C36_01_06262025.jpeg,36,9,Control,2025,6,26,C,1,0.365318382,0.084041365,0.170215129,-0.086173764,6/26/25,835,823,177
357,1028,C37_01_06262025.jpeg,37,10,Deluge,2025,6,26,C,1,0.366846084,0.079712785,0.157414228,-0.077701443,6/26/25,771,761,177
358,1029,C38_01_06262025.jpeg,38,10,Control,2025,6,26,C,1,0.358693703,0.05778482,0.156064301,-0.098279481,6/26/25,837,848,177
359,1030,C39_01_06262025.jpeg,39,10,Drought-Deluge,2025,6,26,C,1,0.338416282,0.013702257,0.185882407,-0.17218015,6/26/25,869,842,177
360,1031,C40_01_06262025.jpeg,40,10,Drought,2025,6,26,C,1,0.336723191,0.009608612,0.180408677,-0.170800064,6/26/25,862,881,177
361,1107,C01_01_07032025.jpeg,1,1,Drought,2025,7,3,C,1,0.347861956,0.02854424,0.168422308,-0.139878069,7/3/25,533,523,184
362,1108,C02_01_07032025.jpeg,2,1,Drought-Deluge,2025,7,3,C,1,0.358164109,0.044682669,0.16655446,-0.121871791,7/3/25,504,479,184
