Plot_#,Trt_#,20_cm_VWC_%,Date,
16,Control,23.8,6/20/25,
17,Drought-Deluge,11.2,6/20/25,
18,Drought,15.4,6/20/25,
19,Control,21.7,6/20/25,
20,Deluge,22.1,6/20/25,
21,Drought,17.1,6/20/25,
22,Drought-Deluge,12.4,6/20/25,
23,Deluge,22.7,6/20/25,
24,Control,23.1,6/20/25,
25,Drought,14.4,6/20/25,
26,Drought-Deluge,12.5,6/20/25,
27,Control,16.6,6/20/25,
28,Deluge,23.8,6/20/25,
29,Drought-Deluge,20.1,6/20/25,
30,Drought,19.1,6/20/25,
31,Control,30.7,6/20/25,
32,Deluge,19.9,6/20/25,
33,Drought,18.5,6/20/25,
34,Drought-Deluge,11.8,6/20/25,
35,Deluge,24.1,6/20/25,
36,Control,17.8,6/20/25,
37,Deluge,18.4,6/20/25,
38,Control,18.2,6/20/25,
39,Drought-Deluge,11.6,6/20/25,
40,Drought,9.7,6/20/25,
1,Drought,10.6,6/26/25,
2,Drought-Deluge,20.9,6/26/25,
3,Control,31.9,6/26/25,
4,Deluge,41.2,6/26/25,
5,Deluge,32.1,6/26/25,
6,Control,25.7,6/26/25,
7,Drought,26.9,6/26/25,
8,Drought-Deluge,21.5,6/26/25,
9,Deluge,46.3,6/26/25,
10,Control,39.4,6/26/25,
11,Drought,45.9,6/26/25,
12,Drought-Deluge,19.8,6/26/25,
13,Drought-Deluge,17,6/26/25,
14,Drought,27.7,6/26/25,
15,Deluge,29.3,6/26/25,
16,Control,20,6/26/25,
17,Drought-Deluge,20.4,6/26/25,
18,Drought,42.3,6/26/25,
19,Control,38.7,6/26/25,
20,Deluge,39.8,6/26/25,
21,Drought,38,6/26/25,
22,Drought-Deluge,15.8,6/26/25,
23,Deluge,44.8,6/26/25,
24,Control,42.6,6/26/25,
25,Drought,32.6,6/26/25,
26,Drought-Deluge,37.4,6/26/25,
27,Control,16.7,6/26/25,
28,Deluge,40.8,6/26/25,
29,Drought-Deluge,18.3,6/26/25,
30,Drought,12,6/26/25,
31,Control,24.1,6/26/25,
32,Deluge,42.9,6/26/25,
33,Drought,24.2,6/26/25,
34,Drought-Deluge,42.5,6/26/25,
35,Deluge,20.6,6/26/25,*Could either be 20.6 or 30.6 
36,Control,25.5,6/26/25,
37,Deluge,45.9,6/26/25,
38,Control,21.1,6/26/25,
39,Drought-Deluge,16.8,6/26/25,
40,Drought,33.9,6/26/25,
1,Drought,,7/4/25,"Data sheet was blank with a note that said ""*Pull from data logger"" "
2,Drought-Deluge,,7/4/25,
3,Control,,7/4/25,
4,Deluge,,7/4/25,
5,Deluge,,7/4/25,
6,Control,,7/4/25,
7,Drought,,7/4/25,
8,Drought-Deluge,,7/4/25,
9,Deluge,,7/4/25,
10,Control,,7/4/25,
11,Drought,,7/4/25,
12,Drought-Deluge,,7/4/25,
13,Drought-Deluge,,7/4/25,
14,Drought,,7/4/25,
15,Deluge,,7/4/25,
16,Control,,7/4/25,
17,Drought-Deluge,,7/4/25,
18,Drought,,7/4/25,
19,Control,,7/4/25,
20,Deluge,,7/4/25,
21,Drought,,7/4/25,
22,Drought-Deluge,,7/4/25,
23,Deluge,,7/4/25,
24,Control,,7/4/25,
25,Drought,,7/4/25,
26,Drought-Deluge,,7/4/25,
27,Control,,7/4/25,
28,Deluge,,7/4/25,
29,Drought-Deluge,,7/4/25,
30,Drought,,7/4/25,
31,Control,,7/4/25,
32,Deluge,,7/4/25,
33,Drought,,7/4/25,
34,Drought-Deluge,,7/4/25,
35,Deluge,,7/4/25,
36,Control,,7/4/25,
37,Deluge,,7/4/25,
38,Control,,7/4/25,
39,Drought-Deluge,,7/4/25,
40,Drought,,7/4/25,
1,Drought,13.4,7/12/25,
2,Drought-Deluge,39.9,7/12/25,
3,Control,16.6,7/12/25,
4,Deluge,44.3,7/12/25,
5,Deluge,47.1,7/12/25,
6,Control,17.2,7/12/25,
7,Drought,19.5,7/12/25,
8,Drought-Deluge,24.4,7/12/25,
9,Deluge,44.5,7/12/25,
10,Control,17.8,7/12/25,
11,Drought,23.8,7/12/25,
12,Drought-Deluge,34.5,7/12/25,
13,Drought-Deluge,31.1,7/12/25,
14,Drought,,7/12/25,Column left blank on data sheet
15,Deluge,33.9,7/12/25,
16,Control,11.4,7/12/25,
17,Drought-Deluge,43.3,7/12/25,
18,Drought,19.7,7/12/25,
19,Control,14.9,7/12/25,
20,Deluge,38.4,7/12/25,
21,Drought,,7/12/25,Column left blank on data sheet
22,Drought-Deluge,40.2,7/12/25,
23,Deluge,46.1,7/12/25,
24,Control,16.9,7/12/25,
25,Drought,15.4,7/12/25,
26,Drought-Deluge,37.6,7/12/25,
27,Control,11.4,7/12/25,
28,Deluge,38.6,7/12/25,
29,Drought-Deluge,41.3,7/12/25,
30,Drought,11.4,7/12/25,
31,Control,,7/12/25,Column left blank on data sheet
32,Deluge,42,7/12/25,
33,Drought,17.2,7/12/25,
34,Drought-Deluge,38.1,7/12/25,
35,Deluge,31.6,7/12/25,
36,Control,14.7,7/12/25,
37,Deluge,32.9,7/12/25,
38,Control,14.1,7/12/25,
39,Drought-Deluge,28,7/12/25,
40,Drought,19.4,7/12/25,
